Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00     1821     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<boost::math::tools::polynomial<float>::normalize()::{lambda(float const&)#1}>::operator()<std::reverse_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::reverse_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >)
  0.00      0.03     0.00     1821     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const
  0.00      0.03     0.00     1821     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >::operator*() const
  0.00      0.03     0.00     1821     0.00     0.00  boost::math::tools::polynomial<float>::normalize()::{lambda(float const&)#1}::operator()(float const&) const
  0.00      0.03     0.00     1805     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<boost::math::tools::polynomial<double>::normalize()::{lambda(double const&)#1}>::operator()<std::reverse_iterator<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > > >(std::reverse_iterator<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >)
  0.00      0.03     0.00     1805     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      0.03     0.00     1805     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >::operator*() const
  0.00      0.03     0.00     1805     0.00     0.00  boost::math::tools::polynomial<double>::normalize()::{lambda(double const&)#1}::operator()(double const&) const
  0.00      0.03     0.00     1728     0.00     0.00  void std::swap<double*>(double*&, double*&)
  0.00      0.03     0.00     1728     0.00     0.00  void std::swap<float*>(float*&, float*&)
  0.00      0.03     0.00     1655     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.03     0.00     1617     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.03     0.00     1552     0.00     0.00  std::complex<double> std::operator-<double>(std::complex<double> const&)
  0.00      0.03     0.00     1552     0.00     0.00  std::complex<float> std::operator-<float>(std::complex<float> const&)
  0.00      0.03     0.00     1526     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >::operator++()
  0.00      0.03     0.00     1472     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >::operator++()
  0.00      0.03     0.00     1432     0.00     0.00  boost::math::tools::polynomial<double>::operator[](unsigned long) const
  0.00      0.03     0.00     1432     0.00     0.00  boost::math::tools::polynomial<float>::operator[](unsigned long) const
  0.00      0.03     0.00     1432     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00      0.03     0.00     1432     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long) const
  0.00      0.03     0.00     1385     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      0.03     0.00     1374     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      0.03     0.00     1254     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator<double*>(__gnu_cxx::__normal_iterator<double*, __gnu_cxx::__enable_if<std::__are_same<double*, double*>::__value, std::vector<double, std::allocator<double> > >::__type> const&)
  0.00      0.03     0.00     1254     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator<float*>(__gnu_cxx::__normal_iterator<float*, __gnu_cxx::__enable_if<std::__are_same<float*, float*>::__value, std::vector<float, std::allocator<float> > >::__type> const&)
